.1ord,ord_regex,.1definition,.1subgrupp,huvudgrupp
.net,,.net,.net,
.net framework,,.net,.net,
.net-plattformen,,.net,.net,
c#.net,,.net,.net,
csharpdotnet,,.net,.net,
dotnet,,.net,.net,
dotnet grupp,,.net,.net,
dotnet lösningar,,.net,.net,
dotnet miljö,,.net,.net,
dotnet miljön,,.net,.net,
dotnet plattform,,.net,.net,
dotnet plattformen,,.net,.net,
dotnet ramverket,,.net,.net,
dotnet utvecklare,,.net,.net,
dotnet utveckling,,.net,.net,
microsoft.net,,.net,.net,
1c enterprise,,1c enterprise,1c enterprise,
3d animering,,3d animering,3d,
3d grafik,,3d grafik,3d,
3d-modellering,,3d modellering,3d,
3d-motorer,,3d motorer,3d,
3d-rendering,,3d rendering,3d,
3d studio,,3d studio,3d,
3d-visualisering,,3d visualisering,3d,
3ds max,,3ds max,3d,
5g,,5g,telekommunikationsstandard,
a/b testing,,a/b testning,testning,
aaa games,,aaa games,aaa games,
acceptanstester,,acceptanstester,testning,
access control,,access control,access control,
accessfrågor,,access control,access control,
accesshantering,,access control,access control,
accesslösningar,,access control,access control,
accesstjänster,,access control,access control,
actionscript,,actionscript,actionscript,
active directory,,active directory,windows server,
active directory,,active directory,windows server,
active directory,,active directory,windows server,
active directory administration,,active directory,windows server,
activedirectory,,active directory,windows server,
activebatch,,activebatch,automation & scheduling,
administering,,administration,administration,
administration,,administration,administration,
administrationssystem,,administration,administration,
administrationsverktyg,,administration,administration,
administrativ erfarenhet,,administration,administration,
administrativa uppgifter,,administration,administration,
administratörsuppgifter,,administration,administration,
ado.net,,ado.net,.net,
adobe creative suite,,adobe,adobe,
adobe cs,,adobe,adobe,
adobe paketet,,adobe,adobe,
adobe suiten,,adobe,adobe,
adobe-programmen,,adobe,adobe,
adobeprodukter,,adobe,adobe,
adobe after effects,,adobe after effects,adobe,
adobe analytics,,adobe analytics,adobe,
adobe captivate,,adobe captivate,adobe,
adobe creative,,adobe creative,adobe,
adobe fireworks,,adobe fireworks,adobe,
adobe flash,,adobe flash,adobe,
adobe golive,,adobe golive,adobe,
adobe illustrator,,adobe illustrator,adobe,
adobe indesign,,adobe indesign,adobe,
adobe photoshop,,adobe photoshop,adobe,
photoshop,,adobe photoshop,adobe,
premiere pro,,adobe premiere pro,adobe premiere pro,
adobe xd,,adobe xd,adobe,
abap,,advanced business application programming,,
abl,,advanced business language,,
aix,,advanced interactive executive,unix operating system,generellt
ags script,,adventure game studio,game development,game development
agda,,agda,functional programming language,
agil metodik,,agile,workflow,generellt
agil systemutveckling,,agile,workflow,generellt
