.1ord,ord_regex,.1definition,.1subgrupp,huvudgrupp
.net,,.net,.net,
.net framework,,.net,.net,
.net-plattformen,,.net,.net,
1c enterprise,,1c enterprise,1c enterprise,
1st line,,first-line support,first-line support,it-support
2nd line,,second-line support,second-line support,it-support
3d animering,,3d animering,3d,
3d grafik,,3d grafik,3d,
3d studio,,3d studio,3d,
3d-modellering,,3d modellering,3d,
3d-motorer,,3d motorer,3d,
3d-rendering,,3d rendering,3d,
3d-visualisering,,3d visualisering,3d,
3ds max,,3ds max,3d,
3rd line,,third-line support,third-line support,it-support
5g,,5g,telekommunikationsstandard,
a/b testing,,a/b testning,testning,
aaa games,,aaa games,aaa games,
aadc,,azure active directory connect,Azure,
abac,,attribute-based access control,,
abap,,advanced business application programming,,
abb 800xa,,övrigt,övrigt,
abl,,advanced business language,,
ac450,,övrigt,övrigt,
acceptanstester,,acceptanstester,testning,
access control,,access control,access control,
accessfrågor,,access control,access control,
accesshantering,,access control,access control,
accesslösningar,,access control,access control,
accesstjänster,,access control,access control,
act,,Assistive Computer Technology,accessability,
actionscript,,actionscript,actionscript,
active directory,,active directory,windows server,
active directory,,active directory,windows server,
active directory,,active directory,windows server,
active directory administration,,active directory,windows server,
activebatch,,activebatch,automation & scheduling,
activedirectory,,active directory,windows server,
activemq,,,,
actuator,,,,
ada,,,,
adas,,,,
adato,,,,
adc,,,,
adcs,,,,
adform,,,,
adfs,,,,
administering,,administration,administration,
administration,,administration,administration,
administrationssystem,,administration,administration,
administrationsverktyg,,administration,administration,
administrativ erfarenhet,,administration,administration,
administrativa uppgifter,,administration,administration,
administratörsuppgifter,,administration,administration,
ado.net,,ado.net,.net,
adobe after effects,,adobe after effects,adobe,
adobe analytics,,adobe analytics,adobe,
adobe captivate,,adobe captivate,adobe,
adobe creative,,adobe creative,adobe,
adobe creative suite,,adobe,adobe,
adobe cs,,adobe,adobe,
adobe fireworks,,adobe fireworks,adobe,
adobe flash,,adobe flash,adobe,
adobe golive,,adobe golive,adobe,
adobe illustrator,,adobe illustrator,adobe,
adobe indesign,,adobe indesign,adobe,
adobe paketet,,adobe,adobe,
adobe photoshop,,adobe photoshop,adobe,
adobe suiten,,adobe,adobe,
adobe xd,,adobe xd,adobe,
adobe-programmen,,adobe,adobe,
adobeprodukter,,adobe,adobe,
adp,,automatic data processing,hr software,
agda,,agda,functional programming language,
agil metodik,,agile,workflow,generellt
agil systemutveckling,,agile,workflow,generellt
agil utvecklingsmetodik,,agile,workflow,generellt
agila arbetsmetoder,,agile,workflow,generellt
agila projektmetoder,,agile,workflow,generellt
