[\s_-](\.net\|\.net\ framework\|\.net\-plattformen\|c\#\.net\|csharpdotnet\|dotnet\|dotnet\ grupp\|dotnet\ lösningar\|dotnet\ miljö\|dotnet\ miljön\|dotnet\ plattform\|dotnet\ plattformen\|dotnet\ ramverket\|dotnet\ utvecklare\|dotnet\ utveckling\|microsoft\.net)[\.\s_-],.net,.net,
[\s_-](1c\ enterprise)[\.\s_-],1c enterprise,1c enterprise,
[\s_-](1st\ line\|first\-line\ support\|firstline)[\.\s_-],first-line support,first-line support,it-support
[\s_-](2nd\ line\|second\ line\|second\-line\ support)[\.\s_-],second-line support,second-line support,it-support
[\s_-](3d\ animering)[\.\s_-],3d animering,3d,
[\s_-](3d\ grafik)[\.\s_-],3d grafik,3d,
[\s_-](3d\ studio)[\.\s_-],3d studio,3d,
[\s_-](3d\-modellering)[\.\s_-],3d modellering,3d,
[\s_-](3d\-motorer)[\.\s_-],3d motorer,3d,
[\s_-](3d\-rendering)[\.\s_-],3d rendering,3d,
[\s_-](3d\-visualisering)[\.\s_-],3d visualisering,3d,
[\s_-](3ds\ max)[\.\s_-],3ds max,3d,
[\s_-](3rd\ line\|third\ line\|third\-line\ support)[\.\s_-],third-line support,third-line support,it-support
[\s_-](5g)[\.\s_-],5g,telekommunikationsstandard,
[\s_-](a/b\ testing)[\.\s_-],a/b testning,testning,
[\s_-](aaa\ games)[\.\s_-],aaa games,aaa games,
[\s_-](aadc\|azure_ad_connect)[\.\s_-],azure active directory connect,Azure,
[\s_-](abac)[\.\s_-],attribute-based access control,,
[\s_-](abap)[\.\s_-],advanced business application programming,,
[\s_-](abb\ 800xa\|ac450\|ais)[\.\s_-],övrigt,övrigt,
[\s_-](abl)[\.\s_-],advanced business language,,
[\s_-](acceptanstester)[\.\s_-],acceptanstester,testning,
[\s_-](access\ control\|accessfrågor\|accesshantering\|accesslösningar\|accesstjänster)[\.\s_-],access control,access control,
[\s_-](act)[\.\s_-],Assistive Computer Technology,accessability,
[\s_-](actionscript)[\.\s_-],actionscript,actionscript,
[\s_-](active\ directory\|active\ directory\|active\ directory\|active\ directory\ administration\|activedirectory)[\.\s_-],active directory,windows server,
[\s_-](activebatch)[\.\s_-],activebatch,automation & scheduling,
